datetime,temp,hum,obsc
2019-01-01,59.0,31.285714285714285,0.0
2019-01-02,61.0,27.285714285714285,0.0
2019-01-03,59.0,42.57142857142857,0.0
2019-01-04,60.0,62.375,1.375
2019-01-05,58.0,72.66666666666667,5.4259259259259265
2019-01-06,60.0,74.375,6.729166666666668
2019-01-07,61.0,75.25,3.4166666666666665
2019-01-08,62.0,71.0,6.666666666666667
2019-01-09,64.0,68.44444444444444,3.018518518518518
2019-01-10,59.0,74.0,0.2857142857142857
2019-01-11,65.0,70.42857142857143,4.833333333333333
2019-01-12,60.0,69.71428571428571,5.428571428571429
2019-01-13,60.0,61.285714285714285,0.0
2019-01-14,58.0,65.0,5.571428571428571
2019-01-15,62.0,83.3,6.116666666666667
2019-01-16,66.0,64.28571428571429,5.333333333333333
2019-01-17,61.0,78.0,5.20407214101291
2019-01-18,64.0,53.714285714285715,0.5714285714285714
2019-01-19,72.0,55.285714285714285,0.0
2019-01-20,62.0,83.5,6.216666666666666
2019-01-21,57.0,63.42857142857143,0.8571428571428571
2019-01-22,60.0,36.857142857142854,0.0
2019-01-23,62.0,51.857142857142854,0.0
2019-01-24,68.0,50.42857142857143,0.0
2019-01-25,71.0,56.42857142857143,0.0
2019-01-26,69.0,47.0,0.0
2019-01-27,75.0,41.857142857142854,0.0
2019-01-28,66.0,73.7,0.8
2019-01-29,60.0,76.18181818181819,3.348484848484848
2019-01-30,62.0,72.14285714285714,2.4285714285714284
2019-01-31,60.0,78.08333333333333,4.402777777777778
2019-02-01,60.0,68.28571428571429,6.619047619047619
2019-02-02,61.0,69.5,4.25
2019-02-03,54.0,84.05555555555556,6.3240740740740735
2019-02-04,51.0,81.61538461538461,5.589743589743591
2019-02-05,49.0,56.57142857142857,2.761904761904762
2019-02-06,53.0,57.857142857142854,4.476190476190476
2019-02-07,55.0,60.90909090909091,5.227272727272726
2019-02-08,53.0,75.57142857142857,7.452380952380953
2019-02-09,54.0,67.0,3.6458333333333335
2019-02-10,50.0,60.42857142857143,2.976190476190476
2019-02-11,54.0,46.285714285714285,0.5714285714285714
2019-02-12,59.0,52.142857142857146,2.4285714285714284
2019-02-13,68.0,63.0,3.5714285714285716
2019-02-14,67.0,84.41666666666667,5.986111111111112
2019-02-15,53.0,69.875,5.229166666666666
2019-02-16,52.0,75.75,4.374999999999999
2019-02-17,51.0,59.285714285714285,4.0
2019-02-18,53.0,41.0,0.0
2019-02-19,53.0,35.857142857142854,0.7016371739726683
2019-02-20,53.0,66.0,5.041666666666666
2019-02-21,54.0,46.714285714285715,0.2857142857142857
2019-02-22,53.0,35.42857142857143,0.0
2019-02-23,53.0,54.0,0.2857142857142857
2019-02-24,56.0,62.57142857142857,0.0
2019-02-25,59.0,57.857142857142854,1.1428571428571428
2019-02-26,62.0,56.285714285714285,5.238095238095239
2019-02-27,67.0,54.0,2.5714285714285716
2019-02-28,57.0,65.0,7.222222222222222
2019-03-01,59.0,66.14285714285714,5.0
2019-03-02,66.0,77.375,5.656249999999999
2019-03-03,59.0,85.3,6.474999999999999
2019-03-04,58.0,63.333333333333336,2.6666666666666665
2019-03-05,64.0,75.75,5.4375
2019-03-06,62.0,76.75,5.925
2019-03-07,52.0,80.78947368421052,6.271929824561403
2019-03-08,55.0,56.285714285714285,3.4285714285714284
2019-03-09,56.0,71.45454545454545,5.5
2019-03-10,59.0,54.857142857142854,4.714285714285714
2019-03-11,61.0,53.285714285714285,0.0
2019-03-12,58.0,66.2,4.666666666666666
2019-03-13,58.0,51.142857142857146,0.0
2019-03-14,62.0,38.857142857142854,0.0
2019-03-15,66.0,52.285714285714285,0.0
2019-03-16,65.0,56.0,0.0
2019-03-17,76.0,53.142857142857146,0.0
2019-03-18,70.0,57.0,0.75
2019-03-19,67.0,54.142857142857146,0.2857142857142857
2019-03-20,60.0,71.16666666666667,4.333333333333333
2019-03-21,60.0,60.111111111111114,1.6666666666666667
2019-03-22,61.0,60.25,6.375
2019-03-23,60.0,61.57142857142857,1.7142857142857142
2019-03-24,63.0,45.57142857142857,0.0
2019-03-25,70.0,43.857142857142854,0.8571428571428571
2019-03-26,64.0,67.42857142857143,5.952380952380952
2019-03-27,63.0,66.77777777777777,6.037037037037037
2019-03-28,62.0,55.142857142857146,1.4285714285714286
2019-03-29,60.0,59.285714285714285,0.0
2019-03-30,62.0,61.142857142857146,0.0
2019-03-31,64.0,64.14285714285714,0.0
